"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Milk type used: Never/rarely have milk","1418","Categorical (single)","ukb-d-1418_6","BC","0.957015420496087","-0.59909285216757","2.51312369315974","0.793947381144776","0.228053175350482","0.947367970439287","-0.602671952685515","2.49740789356409","0.79085122754873","0.230952363265441","0.952172847727024","0.56030771364514","-0.146010091277433","2.05035578673148","0.0892485739152277","0","0.993131097946277"
"Milk type used: Full cream","1418","Categorical (single)","ukb-d-1418_1","BC","0.0620399903437894","-0.779807189567133","0.903887170254712","0.429521759864623","0.885153276386289","0.140773952005142","-0.663182712999054","0.944730617009338","0.410189509269407","0.731453667029146","0.103218663349089","0.296646801711382","-0.478198384134214","0.684635710832392","0.727876699371295","0","0.894536646473522"
"Milk type used: Semi-skimmed","1418","Categorical (single)","ukb-d-1418_2","BC","0.17295165039796","-0.358208221340598","0.704111522136517","0.271004914339385","0.523352349761439","0.165101239256882","-0.346792468756387","0.676994947270152","0.26117505834343","0.527290301409017","0.168881489932406","0.188057762714883","-0.199704952001943","0.537467931866756","0.369169620237009","0","0.983358848584372"
"Milk type used: Skimmed","1418","Categorical (single)","ukb-d-1418_3","BC","0.377272571849884","-0.290776109054882","1.04532125275465","0.340847426878376","0.268351685261951","0.288469816260043","-0.324984036756905","0.901923669276991","0.312992411011526","0.356710567708787","0.329094855113493","0.230538622188636","-0.12275254142172","0.780942251648705","0.15343461083643","0","0.847820075855794"
"Milk type used: Other type of milk","1418","Categorical (single)","ukb-d-1418_5","BC","-0.282569929768619","-2.77774071829758","2.21260085876035","1.27306971363278","0.824345403494331","-0.101705512776657","-2.53120537826042","2.3277943527071","1.23956352496645","0.934607385880189","-0.189726306925963","0.888113069665433","-1.93039593766952","1.5509433238176","0.830836733973382","0","0.918924236730327"
"Non-oily fish intake","1339","Categorical (single)","ukb-b-17627","BC","0.114952243316797","-0.0946899709614796","0.324594457595074","0.106962278864259","0.282509556903472","0.172847590075883","-0.0300782479137985","0.375773428065565","0.103535493300048","0.0950277328026684","0.14484217072473","0.0743926205625472","-0.000964686293416173","0.290649027742876","0.0515351561119293","0","0.697339741724124"
"Oily fish intake","1329","Categorical (single)","ukb-b-2209","BC","-0.109192814005427","-0.238001170521894","0.0196155425110404","0.0657197568590501","0.0966147850210666","-0.0665923093620041","-0.194176211284805","0.0609915925607968","0.0650950236479682","0.306307118237698","-0.0876891187472553","0.0462484269461535","-0.178334369903348","0.00295613240883742","0.0579540369502748","0","0.645128198677178"
"Length of mobile phone use","1110","Categorical (single)","ukb-b-4094","BC","0.0331732788075625","-0.0536284448745932","0.119975002489718","0.0442874075068913","0.453829842974908","0.0370945091530928","-0.0497390355639709","0.123928053870157","0.0443036430271146","0.40243577036035","0.0351331753613243","0.0313216647145839","-0.0262561594150991","0.0965225101377477","0.26199457854821","0","0.950088110050065"
"Plays computer games","2237","Categorical (single)","ukb-b-4779","BC","0.0055807078888228","-0.202968179754236","0.214129595531882","0.106404448902156","0.958171673191072","-0.0240907184004943","-0.235865255016954","0.187683818215965","0.1080502184157","0.823567778482579","-0.00902731399741781","0.0758144769326455","-0.157620958292146","0.13956633029731","0.905219017977188","0","0.844875208028224"
"Frequency of stair climbing in last 4 weeks","943","Categorical (single)","ukb-b-298","BC","-0.207598942385344","-0.388130080751594","-0.0270678040190939","0.0921094161883874","0.0242068805178394","-0.218332576348943","-0.392217031863158","-0.0444481208347284","0.0887181891533689","0.0138562933852534","-0.2131669863414","0.0638984915361582","-0.338405728418707","-0.0879282442640925","0.000849854199524981","0","0.93311155470071"
"Sleep duration","1160","Integer","ukb-b-4424","BC","0.0506139455517243","-0.0983825466873615","0.19961043779081","0.0760200153749513","0.505540464303067","0.048709548425023","-0.0976902854431683","0.195109382293214","0.0746951653310849","0.514329486672293","0.0496450078273886","0.0532796872114639","-0.05478126021464","0.154071275869417","0.351449642014772","0","0.985743409067112"
"Sleeplessness / insomnia","1200","Categorical (single)","ukb-b-3957","BC","0.0897381102784253","-0.0793526485175172","0.258828869074368","0.0862723805792907","0.298260021187406","0.142679989308858","-0.0269222491932201","0.312282227810936","0.0865333444083049","0.0991795896722038","0.116129099410286","0.0610958409823754","-0.00361654852035609","0.235874747340928","0.0573322357949919","0","0.664820725502559"
"Current tobacco smoking","1239","Categorical (single)","ukb-b-223","BC","0.084849090645398","-0.180869842083118","0.350568023373914","0.135573375237746","0.531410943651599","0.0954091536828156","-0.158526897877242","0.349345205242873","0.129561590704254","0.461487312693173","0.0903684425447529","0.093667096539315","-0.0932156932087408","0.273952578298247","0.334653404737495","0","0.955093059312578"
"Able to confide","2110","Categorical (single)","ukb-b-4982","BC","-0.0658452206780323","-0.14281205606126","0.011121614705195","0.0392695151494272","0.0935910741439777","-0.059663589571939","-0.135386758291049","0.0160595791471713","0.0386349796814661","0.122518239454606","-0.062704058813269","0.0275406574810664","-0.116682755586713","-0.00872536203982525","0.0227992781875703","0","0.910654933961237"
"Frequency of friend/family visits","1031","Categorical (single)","ukb-b-5379","BC","-0.038676766913253","-0.153689650268389","0.0763361164418829","0.0586811208074959","0.509831115917344","-0.0327452122081197","-0.152615189664449","0.0871247652482093","0.061159275579474","0.592367230493462","-0.0358335945262792","0.0423428083515624","-0.118823973899623","0.0471567848470649","0.397400215159571","0","0.944207843269842"
"Use of sun/uv protection","2267","Categorical (single)","ukb-b-7422","BC","0.0280922066408605","-0.117754671877952","0.173939085159673","0.0744130400707532","0.70578924360005","0.0368085156509147","-0.106930058435469","0.180547089737299","0.0733373547780344","0.615733095254569","0.032513816194342","0.0522334999386633","-0.0698619624719132","0.134889594860597","0.533632493245103","0","0.933511893703565"
